tour_food,tour_food_theme,tour_food_tag,tour_food_score,like,zzim,review
바다속고등어쌈밥,제주시 > 애월,#한치물회 #쌈밥 #음식 #고등어 #전복뚝배기 #성게미역국 #성게국 #한치 #쌈밥정식 #두루치기 #흑돼지두루치기 #두루치기쌈밥정식 #간장게장 #뚝배기 #성게전복미역국 #전복죽 #갈치구이 #고등어구이 #전복구이,4,0,70,8
바람벽에흰당나귀,제주시 > 구좌,#말차빙수 #음식 #아메리카노 #카페라떼 #카페모카 #바닐라라떼 #카푸치노 #눈꽃빙수 #에스프레소 #카라멜마끼아또 #비엔나커피 #바닐라빈라떼 #아포가토 #샤케라또 #녹차라떼 #홍차라떼 #고구마라떼 #핫초코 #아이스초코 #라떼 #팥빙수 #녹차팥빙수 #차 #매실차 #유자차 #레몬차 #자몽차 #에이드 #레몬에이드 #자몽에이드 #스무디 #허브티 #카모마일 #페퍼민트 #루이보스 #키위주스 #딸기주스 #케이크 #치즈케이크 #브라우니 #와플 #리에주와플 #에스프레소콘파냐 #에스프레소마키아또,4,3,46,8
서광춘희,서귀포시 > 안덕,#한식 #음식 #성게비빔밥 #새우튀김 #가츠동 #해물라면 #라면 #새우라면 #술 #사케 #마루(사케) #생맥주 #차 #커피 #유자차 #청귤차 #레몬에이드 #에이드 #허브티 #홍차 #녹차,4,2,49,8
성읍칠십리식당,서귀포시 > 표선,#음식 #흑돼지구이 #오겹살 #옥돔 #옥돔구이 #비빔밥 #꿩고기 #돼지주물럭 #빈대떡 #쑥빈대떡 #흑돼지오겹살 #목살 #감자국수 #전지,5,3,86,8
에스프레소 라운지,제주시 > 제주시내,#음식 #아메리카노 #에그타르트 #카페라떼 #바닐라라떼 #에이드 #에스프레소 #카푸치노 #바닐라빈라떼 #카라멜라떼 #카페모카 #아포가토 #라떼 #말차라떼 #초코라떼 #곡물라떼 #차 #유자차 #요거트스무디 #플레인요거트스무디 #얼그레이 #카모마일 #페퍼민트 #더치커피 #콜드브루 #아이스크림 #팥빙수,4,1,13,8
올레7돈 (올레칠돈),서귀포시 > 서귀포시내,#된장찌개 #음식 #흑돼지구이 #대패삼겹살 #삼겹살 #오겹살 #목살 #돼지구이 #2022고메페스타,5,9,96,8
중문수두리보말칼국수,서귀포시 > 중문,#음식 #전복죽 #막걸리 #보말 #보말칼국수 #물만두 #보말죽,4,15,196,8
중앙식당,서귀포시 > 안덕,#한식 #음식 #해물뚝배기 #전복해물탕 #보말 #성게국 #전복뚝배기 #도가니탕 #갈비탕 #육개장 #소내장탕 #김치찌개 #해물된장찌개 #한치물회 #전복물회 #물회 #고등어구이 #갈치조림 #오징어볶음 #돼지고기볶음 #도가니전골 #자리물회,4,1,41,8
카페쉼표,제주시 > 한림,#아메리카노 #카페라떼 #바닐라라떼 #카푸치노 #카페모카 #라떼 #고구마라떼 #녹차라떼 #초코라떼 #밀크티라떼 #오곡라떼 #에이드 #레몬에이드 #자몽에이드 #요거트스무디 #딸기요거트스무디 #녹차프라푸치노 #쿠앤크프라푸치노 #아이스티 #복숭아아이스티 #아이스크림 #아이스크림와플 #샌드위치 #핫도그 #팥빙수 #녹차팥빙수,5,2,88,8
코코마마,서귀포시 > 성산,#씨푸드 #음식 #과일주스 #아이스크림 #자몽에이드 #커피 #볶음밥 #아메리카노 #카페라떼 #차 #녹차 #루이보스 #쉐이크 #주스 #허브티 #청귤차,5,0,37,8
