tour_sleep,tour_sleep_theme,tour_sleep_tag,tour_sleep_score,like,zzim,review
관음사 야영장,제주시 > 제주시내,#자연경관 #체험 #캠핑장 #언택트 #어트랙션,0,2,1,0
구름비낭,제주시 > 한경,#독채 #주차장 #공공와이파이존,0,0,3,0
굿데이 펜션,서귀포시 > 서귀포시내,#민박 #주차장 #공공와이파이존 #자연경관 #해변 #조식 포함,0,0,0,0
그라벨호텔제주,제주시 > 제주시내,#수영장 #자연경관 #해변 #음식 #공공와이파이존 #주차장 #관광호텔 #무장애관광,0,3,12,0
그랜드 조선 제주,서귀포시 > 중문,#패키지관광 #공공와이파이존 #수영장 #관광호텔 #럭셔리트래블인제주 #무장애관광,0,0,6,0
그린나래,제주시 > 제주시내,#공공와이파이존 #조식 포함 #가족 #온돌방 #단체여행객 #풀빌라 #일몰명소 #독채,0,0,2,0
그린민박,섬 속의 섬 > 추차도,#숙소 #민박 #농어촌민박 #힐링,0,0,0,0
그린사이드펜션,서귀포시 > 서귀포시내,#휴양펜션 #일반숙박 #민박 #교통 #해수욕장 #바비큐 #돌담길 #정원 #농어촌민박,0,0,0,0
그림같은집,서귀포시 > 서귀포시내,#휴양펜션 #서귀포 #주차장 #자연경관 #농어촌민박,0,1,0,0
그림그리는펜션,서귀포시 > 성산,#민박 #독채 #반려동물보호소 #공공와이파이존 #해수욕장 #문화관광 #수상레저 #갯벌체험학습장 #바비큐 #가족 #단체여행객 #온돌방 #반려동물동반입장 #반려동물 #반려동물동반_숙소,0,1,1,0
그림리조트,제주시 > 제주시내,#수영장 #조식 #바비큐 #공공와이파이존 #해수욕장 #가족호텔 #안전여행스탬프 #무장애관광,0,0,1,0
글라라의집,서귀포시 > 안덕,#독채 #정원 #자연경관 #올레길 #조식 포함 #안전인증민박 #농어촌민박,0,0,3,0
금능이큐스테이호텔,제주시 > 한림,#반려동물동반입장 #혼저옵서개 #반려동물동반_숙소,0,0,0,0
금서방네이층집,서귀포시 > 안덕,#공공와이파이존 #온돌방 #해수욕장 #농어촌민박,0,0,1,0
기분좋은 민박,제주시 > 구좌,#농어촌민박 #주차장 #공공와이파이존 #교통 #물품보관서비스 #바비큐,0,0,0,0
길섶나그네펜션,제주시 > 조천,#펜션 #한옥 #편백나무펜션 #숲 #노천온천 #차 #음식 #교통,0,0,0,0
